period,type1_attendances,type2_attendances,type3_attendances,total_attendances,emergency_admissions_type1,emergency_admissions_type2,emergency_admissions_type3_4,total_emergency_admissions_via_ae,other_emergency_admissions,total_emergency_admissions,patients_over_4hrs,patients_over_12hrs
Nov-14,1205519,52329,572612,1830460,331924,1799,3355,337078,127264,464342,25664,35.0
Dec-14,1241895,47660,611673,1901227,353472,1807,3731,359010,125350,484361,45982,186.0
Jan-15,1124040,50900,557126,1732067,333669,1400,3389,338459,124942,463401,44903,650.0
Feb-15,1072452,48157,534238,1654846,306651,1287,2915,310853,113782,424635,33137,184.0
Mar-15,1251325,56383,635259,1942967,340682,1603,4359,346645,128296,474941,30768,54.0
Apr-15,1206631,52366,614171,1873168,326807,1434,4126,332367,117887,450253,27996,58.0
May-15,1254445,54809,628214,1937469,339572,1485,4315,345372,123043,468416,23524,46.0
Jun-15,1249213,53398,608598,1911209,328757,1139,4085,333981,124809,458790,19065,25.0
Jul-15,1271523,53417,627955,1952895,338445,1393,4203,344041,129873,473914,17275,22.0
Aug-15,1215826,49458,599855,1865139,331841,1225,4063,337129,118303,455432,20030,28.0
Sep-15,1221594,50868,587517,1859979,332984,1250,3847,338081,126114,464195,25883,23.0
Oct-15,1261395,50275,611438,1923108,345833,1041,4308,351182,128805,479987,31582,58.0
Nov-15,1236294,48306,589635,1874235,340241,1037,3630,344908,130656,475564,34170,29.0
Dec-15,1232965,46148,588539,1867652,353112,1098,3921,358131,129667,487798,32939,29.0
Jan-16,1250005,47208,609707,1906920,353778,1114,4076,358968,125865,484833,51571,158.0
Feb-16,1218372,48387,604017,1870776,333519,1047,3784,338350,124514,462864,50066,188.0
Mar-16,1350373,49906,687274,2087553,357724,1125,4466,363315,130761,494076,53640,349.0
Apr-16,1214057,50359,603365,1867781,333458,1079,3676,338213,121996,460209,38632,196.0
May-16,1353206,52180,664954,2070340,359307,1108,3965,364380,128811,493191,38203,107.0
Jun-16,1282499,52180,624123,1958802,346030,1087,3843,350960,129250,480210,35300,84.0
Jul-16,1353477,52961,672596,2079034,356986,1100,3693,361779,128442,490221,37466,113.0
Aug-16,1254439,52404,626058,1932901,342617,1186,3882,347685,122869,470554,34253,57.0
Sep-16,1277578,52521,622365,1952464,345085,1226,3841,350152,125656,475808,35694,86.0
Oct-16,1317571,51020,633225,2001816,357874,1160,4275,363309,129674,492983,48816,252.0
Nov-16,1258205,49979,599687,1907871,351285,1166,4095,356546,132780,489326,52988,457.0
Dec-16,1277133,45569,621865,1944567,366086,1078,3384,370548,127367,497915,61729,553.0
Jan-17,1237177,48039,610056,1895272,358045,1186,3709,362940,129333,492273,79551,989.0
Feb-17,1127909,45733,561977,1735619,322294,1029,3338,326661,121027,447688,54491,338.0
Mar-17,1309507,53355,652972,2015834,365117,1165,3821,370103,139702,509805,42970,270.0
Apr-17,1253743,47550,648469,1949762,347805,1124,3636,352565,118763,471328,33923,143.0
May-17,1347297,51037,668455,2066789,369644,1186,3640,374470,131373,505843,40296,115.0
Jun-17,1296877,50612,646567,1994056,356052,1243,3898,361193,130013,491206,34476,55.0
Jul-17,1348648,50369,674927,2073944,365685,1164,3658,370507,128752,499259,37258,74.0
Aug-17,1256655,47912,620096,1924663,356405,1176,3404,360985,125089,486074,37164,50.0
Sep-17,1263957,47250,614754,1925961,356160,1177,3661,360998,125801,486799,42157,77.0
Oct-17,1325211,50198,668728,2044137,373673,1204,3934,378811,134406,513217,45500,57.0
Nov-17,1281913,48223,646835,1976971,372551,1243,3876,377670,135349,513019,48623,107.0
Dec-17,1289587,42158,672209,2003954,387919,1150,4467,393536,127267,520803,69086,517.0
Jan-18,1257026,49987,693073,2000086,383879,1214,4634,389727,136318,526045,81231,1054.0
Feb-18,1151757,41902,626353,1820012,347470,1087,4145,352702,124165,476867,68712,369.0
Mar-18,1299796,46655,703334,2049785,385196,1283,4523,391002,135064,526066,76233,853.0
Apr-18,1246348,47256,690765,1984369,370142,1418,4290,375850,127543,503393,48004,356.0
May-18,1354711,49219,760528,2164458,392433,1508,4762,398703,134754,533457,39236,106.0
Jun-18,1306739,49635,737568,2093942,376782,1646,4506,382934,130320,513254,33750,99.0
Jul-18,1365859,49846,764191,2179896,390294,1523,4908,396725,133207,529932,42823,149.0
Aug-18,1252767,49117,695970,1997854,382863,1508,4703,389074,128225,517299,40214,162.0
Sep-18,1269088,47622,688985,2005695,379951,1389,4635,385975,124347,510322,44582,154.0
Oct-18,1320032,51282,708178,2079492,398478,1703,4913,405094,140928,546022,49014,214.0
Nov-18,1305353,48465,684029,2037847,397128,1698,4690,403516,141841,545357,54373,259.0
Dec-18,1307359,43072,697087,2047518,407286,1565,4781,413632,131271,544903,59805,284.0
Jan-19,1344354,47616,721443,2113413,414698,1680,5095,421473,142562,564035,83554,627.0
Feb-19,1234328,44183,676436,1954947,370476,1645,5381,377502,128220,505722,70815,521.0
Mar-19,1373061,50490,744000,2167551,409617,1730,4617,415964,139493,555457,59510,331.0
Apr-19,1330825,49281,732059,2112165,398802,1787,4850,405439,129787,535226,66933,442.0
May-19,1369332,50642,752032,2172006,406065,2145,4631,412841,134541,547382,61507,416.0
Jun-19,1334137,49233,724617,2107987,392446,1528,4696,398670,130131,528801,57671,462.0
Jul-19,1415918,52418,796714,2265050,408752,1840,5101,415693,138376,554069,58532,452.0
Aug-19,1324070,48786,752579,2125435,393710,1366,4877,399953,129278,529231,56498,371.0
Sep-19,1342510,48217,732618,2123345,391228,1363,7133,399724,130179,529903,64924,458.0
Oct-19,1376347,50391,744147,2170885,412649,1810,6647,421106,142027,563133,80091,725.0
Nov-19,1366383,47179,729943,2143505,408116,1736,6607,416459,143097,559556,88922,1111.0
Dec-19,1373654,43458,763425,2180537,416017,3570,5047,424634,136161,560795,98461,2356.0
Jan-20,1327234,49597,737878,2114709,408501,1729,6311,416541,142517,559058,100579,2847.0
Feb-20,1237255,45124,687312,1969691,374612,3231,4434,382277,128534,510811,78646,1621.0
Mar-20,1013021,32747,486033,1531801,319392,1394,5047,325833,102135,427968,51790,1174.0
Apr-20,689720,19726,207129,916575,252680,960,4288,257928,68653,326581,15720,251.0
May-20,924218,26479,311140,1261837,308798,1165,2756,312719,85687,398406,13457,93.0
Jun-20,1016132,30894,363576,1410602,332910,1344,3455,337709,99892,437601,17881,159.0
Jul-20,1120421,32759,435106,1588286,358671,1340,3372,363383,109843,473226,21025,271.0
Aug-20,1179019,32231,507753,1719003,365503,1217,3488,370208,104017,474225,32159,335.0
Sep-20,1163948,33295,496637,1693880,365705,1208,3682,370595,109260,479855,44996,346.0
Oct-20,1111958,33012,454377,1599347,367175,1270,3514,371959,109887,481846,66794,1268.0
Nov-20,1036350,31872,416954,1485176,343989,1155,3533,348677,105239,453916,71041,2148.0
Dec-20,1039474,29838,405362,1474674,351824,1146,3535,356505,103755,460260,89927,3745.0
Jan-21,941194,25744,343868,1310806,343534,1085,3426,348045,97555,445600,95695,3825.0
Feb-21,903771,27972,346348,1278091,318460,1101,3485,323046,99378,422424,57152,1021.0
Mar-21,1161079,35656,494547,1691282,375926,1391,5605,382922,121004,503926,50972,688.0
Apr-21,1259266,35363,571603,1866232,385748,1261,5267,392276,117986,510262,48719,526.0
May-21,1396116,38747,640679,2075542,411470,1403,5593,418466,125499,543965,57308,695.0
Jun-21,1436111,39162,681859,2157132,401052,1444,5423,407919,127483,535402,66621,1289.0
Jul-21,1430733,39313,690082,2160128,402085,1323,7160,410568,122144,532712,89762,2208.0
Aug-21,1341757,39864,654346,2035967,381911,1325,5555,388791,115095,503886,96008,2787.0
Sep-21,1392405,40503,694296,2127204,379118,1296,5309,385723,121363,507086,104873,5024.0
Oct-21,1419010,39701,706091,2164802,389169,1176,5363,395708,121475,517183,121250,7058.0
Nov-21,1336830,39025,662100,2037955,374964,1246,5298,381508,124734,506242,120744,10646.0
Dec-21,1250568,34913,589161,1874642,370950,1881,7133,379964,119091,499055,120131,12859.0
Jan-22,1247417,36557,591228,1875202,358968,1204,5320,365492,119460,484952,122433,16564.0
Feb-22,1205820,37970,581573,1825363,334835,1087,5275,341197,118755,459952,114908,16402.0
Mar-22,1421526,41910,711362,2174798,374562,1258,5728,381548,132707,514255,136298,22506.0
Apr-22,1312380,37898,678518,2028796,352982,1156,5793,359931,119848,479779,131604,24179.0
May-22,1437421,41874,753758,2233053,377496,1276,6015,384787,132924,517711,125318,19657.0
Jun-22,1400664,40910,750117,2191691,366684,1265,5979,373928,129120,503048,130357,22017.0
Jul-22,1397083,39632,744940,2181655,362027,1198,6144,369369,127730,497099,135819,29139.0
Aug-22,1299083,40802,655794,1995679,350562,1307,5219,357088,124921,482009,130148,28690.0
Sep-22,1301611,40188,666690,2008489,353779,1325,5653,360757,126720,487477,131572,32762.0
Oct-22,1399185,41440,747403,2188028,367028,1411,6302,374741,132106,506847,150786,43793.0
